"white_username","black_username","white_rating","black_rating","white_result","time_class","time_control","rules","rated","Event","FirstMove"
"8nevermore8","GoshaG0ld",1661,1641,"win","blitz","180+2","chess","True","Live Chess""","d4"
"lordwini","AaliSyed",2097,1641,"win","bullet","60","chess","True","Live Chess""","d4"
"jkk485kk","44mc44",1771,1809,"loss","blitz","300","chess","True","Live Chess""","b4"
"larry0708","01061393288",1512,1481,"loss","blitz","300","chess","True","Live Chess""","e4"
"11Muhammad11","oupinaize",1039,1260,"loss","blitz","180","chess","True","Live Chess""","e4"
"dimma","A3110",1784,1837,"win","blitz","600","chess","True","Live Chess""","d3"
"D3T3RM1N4D0","5432132",1057,1023,"win","blitz","180","chess","True","Live Chess""","e4"
"ReyanYt","190l",2069,2082,"win","blitz","180","chess","True","Live Chess""","e4"
"4nt0r2g","maggie0715",1112,1117,"win","blitz","300","chess","True","Live Chess""","e4"
"King_Me77","1Corinthians13",1331,1383,"loss","bullet","60","chess","True","Live Chess""","e4"
"8Bit_King","RKlaassen38",756,799,"loss","blitz","600","chess","True","Live Chess""","d4"
"0x3e","Azddin1",389,598,"loss","rapid","600","chess","True","Live Chess""","Nf3"
"A7hmedR","Iqii87",1145,1116,"win","rapid","600","chess","True","Live Chess""","e4"
"abouzar77","8nevermore8",1671,1700,"loss","blitz","180+2","chess","True","Live Chess""","e4"
"saddem","700",1565,1502,"win","blitz","180+2","chess","True","Live Chess""","e4"
"5uk0","Venkatprasad77",1081,1059,"win","rapid","600","chess","True","Live Chess""","e4"
"90000226","alihalalih",1304,1290,"win","blitz","600","chess","True","Live Chess""","e4"
"sri_kolluri","1southern2",1274,1306,"loss","bullet","60","chess","True","Live Chess""","e4"
"4LordsChess","pakitospain",1117,1246,"loss","daily","1/259200","chess","True","Let's Play!""","d4"
"aapriambodo","noahcho123",1144,1227,"win","blitz","300","chess","True","Live Chess""","d4"
"noenos","Abdallah96Adel",1267,1297,"loss","rapid","600","chess","True","Live Chess""","d4"
"7assoon131","recontra_mate2",1542,1528,"loss","blitz","180","chess","True","Live Chess""","e4"
"Tempysts","4nt0r2g",1161,1107,"loss","blitz","300","chess","True","Live Chess""","d4"
"Kinghunter14","1976BRASILrecife",1560,1573,"win","rapid","600","chess","True","Live Chess""","c4"
"Juanu51","0scorpion0",1159,1176,"win","rapid","600","chess","True","Live Chess""","e4"
"mx12340","1Corinthians13",1248,1241,"win","blitz","180","chess","True","Live Chess""","e4"
"Malaciayi-ashxatox","abdellhamid",1820,1471,"win","bullet","30","chess","True","Live Chess""","e4"
"aashikpraveen","perepasai",614,623,"win","bullet","60","chess","True","Live Chess""","d3"
"3rdmove","Noc69",679,666,"win","bullet","60","chess","True","Live Chess""","d4"
"22Yossarian22","agutierrezp",1763,1752,"win","blitz","300","chess","True","Live Chess""","e4"
"Kirill312","23Ioffside",982,1024,"loss","blitz","600","chess","True","Live Chess""","e4"
"DavidK509","abbevv",611,646,"loss","rapid","600","chess","True","Live Chess""","e4"
"asgar1965","3456743m",1640,1529,"win","rapid","1800","chess","True","Live Chess""","e4"
"abdellhamid","Stirlicas",1420,1604,"loss","bullet","30","chess","True","Live Chess""","e4"
"hassanelsaid","Aamatythallome",1835,1837,"win","blitz","600","chess","True","Live Chess""","e4"
"AbdelrahmanEl-said95","vtomogz",1063,979,"win","blitz","180+2","chess","True","Live Chess""","e4"
"cdd232323","19MBatt95",1017,970,"win","blitz","300","chess","True","Live Chess""","e4"
"589amf","sunad1",1361,1381,"loss","bullet","60+1","chess","True","Live Chess""","e4"
"19HectorFabioLopez59","Youx2000",1286,1359,"win","rapid","1800","chess","True","Live Chess""","e4"
"AaliSyed","andreappachie",1741,1651,"win","bullet","60","chess","True","Live Chess""","e4"
"bardin1","7assoon131",1318,1328,"win","bullet","60","chess","True","Live Chess""","e4"
"32rtutu","Kujang_Kembar",1509,2146,"loss","blitz","180","chess","True","Live Chess""","e4"
"PierS16","abdillahjunaidi",1481,1501,"loss","bullet","120+1","chess","True","Live Chess""","e4"
"slimjim365","8amleo",905,885,"win","blitz","300","chess","True","Live Chess""","d4"
"abbevv","GMNC44",674,1200,"win","rapid","600","threecheck","False","Live Chess - Three-Check""","e4"
"Rak5ha","aashutosh99",967,962,"loss","blitz","180+2","chess","True","Live Chess""","e4"
"1cowboys","phantomDraven",681,702,"win","blitz","180","chess","True","Live Chess""","d4"
"Chizz12","1UnknownP",577,567,"win","bullet","120+1","chess","True","Live Chess""","e4"
"69chuy1","abhishekdeshmukh74",1555,1527,"win","rapid","600","chess","True","Live Chess""","e4"
"natiamo","1386iliya",995,961,"loss","blitz","180","chess","True","Live Chess""","e3"
"jonaespinoza42","AaliSyed",1420,1589,"loss","bullet","60","chess","True","Live Chess""","e4"
"11brose","onamonapia",1219,1491,"loss","blitz","300","chess","True","Live Chess""","b4"
"mo55mo55","abdoelbnby",1306,1085,"win","rapid","600","chess","True","Live Chess""","e4"
"gokulnarayan","218Media",408,248,"win","blitz","600","chess","True","Live Chess""","Nf3"
"kn8ryder","abdo_001",1456,1441,"win","bullet","60","chess","True","Live Chess""","d4"
"2525pc","Mariahcarrias",1692,531,"win","blitz","180+2","chess","True","Live Chess""","c4"
"Oncle_Adri","18860102",1480,1487,"win","rapid","600","chess","True","Live Chess""","e4"
"visheshva","613vintage",1075,1068,"win","rapid","600","chess","True","Live Chess""","e4"
"bek123","6157",1398,1320,"win","rapid","600","chess","True","Live Chess""","e4"
"charlienoah","09Gladiator09",1108,990,"win","bullet","60","chess","True","Live Chess""","d4"
"Abd-alhamedyousef11","Nickclemenz",1336,1337,"loss","blitz","600","chess","True","Live Chess""","e4"
"13akandeel","luisliraes",1204,1222,"win","bullet","60","chess","True","Live Chess""","e4"
"a1act","marcelldomotor",1053,1022,"loss","rapid","600","chess","True","Live Chess""","e4"
"aahana","Wans-Masters68",1357,1668,"win","bullet","60","chess","True","Live Chess""","d4"
"7assoon131","anandfan2000",1501,1412,"win","bullet","60","chess","True","Live Chess""","e4"
"Ahmed0686","4ncy",427,1023,"loss","blitz","600","chess","True","Live Chess""","g4"
"Allan17moto","84miro",1674,1569,"loss","blitz","180","chess","True","Live Chess""","g3"
"15_tactical_15","FakeBeast06",1788,1353,"win","bullet","60","chess","True","Live Chess""","e4"
"1Corinthians13","ilkut38",1295,1275,"win","blitz","180","chess","True","Live Chess""","e4"
"jesusxc","13e55i",932,911,"loss","blitz","300+5","chess","True","Live Chess""","d4"
"mnyiro","AbdoBrek",791,658,"win","bullet","60","chess","True","Live Chess""","e4"
"Abdo118","EzequielTH",1010,1036,"win","bullet","60+1","chess","True","Live Chess""","d4"
"907juice","ajacied433",1439,1427,"win","rapid","1800","chess","True","Live Chess""","e4"
"123456789000000","LeonadroDicaprio",1678,1633,"win","blitz","300","chess","True","Live Chess""","d4"
"RTutton","5732",723,701,"win","blitz","300","chess","True","Live Chess""","d4"
"ichspielealsobinich","abdo1612",1377,1573,"loss","blitz","180","crazyhouse","True","Live Chess - Crazyhouse""","d4"
"Paulonunes181","21_Ashish",1084,1114,"win","bullet","60","chess","True","Live Chess""","e4"
"aayushjoshi2003","herwonoherwono",955,962,"win","blitz","180","chess","True","Live Chess""","e4"
"18860102","solilmitter",1526,1500,"loss","rapid","600","chess","True","Live Chess""","e4"
"Bruno_Guilherme","aaravdudechess",590,605,"loss","rapid","600","chess","True","Live Chess""","e4"
"YmirFritzTheFoundingTitan","18Kent",1190,1136,"win","bullet","60","chess","True","Live Chess""","e4"
"123456789000000","volcanohire",1669,1680,"loss","blitz","300","chess","True","Live Chess""","d4"
"18Kent","DHansB",1209,1172,"loss","rapid","600","chess","True","Live Chess""","e4"
"19MBatt95","arbat1",1031,1071,"loss","blitz","300","chess","True","Live Chess""","e4"
"Chand9999","1976BRASILrecife",1544,1518,"win","rapid","600","chess","True","Live Chess""","g3"
"mima_20","aarontyes",720,800,"win","daily","1/86400","chess","True","Let's Play!""","e4"
"73rRyan73","mcjim26",1248,1311,"loss","blitz","300","chess","True","Live Chess""","e4"
"alej9812","2kRated",2226,2036,"win","bullet","60","chess","True","Live Chess""","e4"
"zikas311","13luntman",581,550,"win","blitz","600","chess","True","Live Chess""","d4"
"Tyrisk","17Astros",1064,991,"loss","bullet","60","chess","True","Live Chess""","e4"
"1darthvader","jewissuer",1474,1423,"win","rapid","600","chess","True","Live Chess""","e4"
"000167448","13akandeel",1146,1203,"loss","bullet","60","chess","True","Live Chess""","e4"
"2202kerg","babu0101",1653,1654,"loss","bullet","120+1","chess","True","Live Chess""","e4"
"Aadit_Ag","BD_Magnus_Carlsen",748,679,"win","bullet","60","chess","True","Live Chess""","e4"
"Girodano","123cuatro",706,625,"win","blitz","180","chess","True","Live Chess""","e4"
"abdillahjunaidi","hagar1be",1494,1370,"win","bullet","120+1","chess","True","Live Chess""","e3"
"SContell","10nq1a0325",967,992,"loss","blitz","180+2","chess","True","Live Chess""","e4"
"4thehellofit","Sovmorgon",1073,1086,"loss","blitz","300","chess","True","Live Chess""","e4"
"AmeyaK","AbanoubAttalla1997",1527,1577,"loss","rapid","600","chess","True","Live Chess""","d4"
"Akshaycoolkarni98","3emad",1065,1085,"loss","bullet","60","chess","True","Live Chess""","e4"
"1abhishekkumarvirgo1","ramboleon123",1181,709,"loss","blitz","300","chess","True","Live Chess""","e4"
"AaliSyed","ElicoRappaport",1604,1559,"loss","bullet","60","chess","True","Live Chess""","e4"
"banntheman","5432132",1110,1046,"win","blitz","180","chess","True","Live Chess""","e4"
"DoodlesTV","2980",1859,1899,"win","bullet","60","chess","True","Live Chess""","d4"
"A-Sanchez","tawindospueblos",1253,1387,"loss","blitz","600","chess","True","Live Chess""","d4"
"VictorFeitosaChess","21_Ashish",1182,1205,"loss","bullet","60","chess","True","Live Chess""","e4"
"puntselev","abdo_001",1425,1467,"loss","bullet","60","chess","True","Live Chess""","e4"
"eryksjbt","AashishKhot",1584,1562,"win","rapid","600","chess","True","Live Chess""","e4"
"Vinciaco88","aaronatx",1138,1032,"win","blitz","300+5","chess","True","Live Chess""","e4"
